 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Unidade da Federação e Imuno
Período:2015-2019
"Unidade da Federação";"072 BCG";"099 Hepatite B  em crianças até 30 dias";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"080 Penta";"012 Pneumocócica";"074 Poliomielite";"100 Poliomielite 4 anos";"006 Febre Amarela";"096 Hepatite A";"091 Pneumocócica(1º ref)";"092 Meningococo C (1º ref)";"093 Poliomielite(1º ref)";"021 Tríplice Viral  D1";"098 Tríplice Viral  D2";"097 Tetra Viral(SRC+VZ)";"075 DTP";"102 DTP REF (4 e 6 anos)";"095 Tríplice Bacteriana(DTP)(1º ref)";"094 Dupla adulto e tríplice acelular gestante";"003 dTpa gestante";"Total"
"11 Rondônia";92,05;87,64;91,40;92,75;99,32;94,80;95,94;95,60;0,03;94,49;84,47;84,07;87,32;74,67;96,52;80,30;73,63;94,90;2,84;73,66;51,64;53,47;84,90
"12 Acre";92,33;78,44;73,72;75,50;71,96;70,03;77,23;71,14;1,87;60,90;65,50;61,13;64,98;56,34;75,10;58,47;54,41;70,19;4,16;57,95;24,03;28,22;63,78
"13 Amazonas";91,34;83,92;74,71;79,60;83,71;77,38;82,18;78,28;0,18;71,61;76,09;73,81;77,69;67,58;82,52;69,69;64,16;77,45;3,30;61,75;46,85;54,14;73,05
"14 Roraima";108,73;94,43;82,81;83,56;84,10;82,94;88,60;83,96;0,40;77,20;80,50;78,24;83,90;81,37;87,75;81,64;76,59;83,08;4,96;75,89;45,68;52,98;80,14
"15 Pará";78,34;65,73;64,53;66,12;62,39;59,83;67,64;62,73;0,03;55,30;61,06;57,48;61,34;48,76;66,72;52,60;47,62;59,86;2,68;50,47;23,99;27,20;55,88
"16 Amapá";99,50;83,74;75,44;76,23;72,40;69,28;75,74;63,82;10,81;67,89;72,18;63,02;69,94;41,44;78,69;66,74;62,40;69,31;4,19;57,06;42,74;42,42;67,11
"17 Tocantins";96,70;86,26;85,47;84,22;89,03;83,99;88,96;83,40;0,07;73,35;79,41;78,90;83,61;74,27;84,87;72,08;64,91;84,06;2,08;70,31;29,23;43,43;77,89
"21 Maranhão";88,69;77,95;73,19;74,20;76,42;72,13;77,39;73,85;1,17;66,94;67,26;66,50;69,18;59,57;76,98;54,02;33,36;72,23;3,08;56,88;36,46;42,70;63,84
"22 Piauí";82,59;76,35;75,50;76,97;79,40;74,25;78,31;72,64;0,29;67,86;70,63;71,87;76,29;60,62;77,11;59,09;27,13;74,49;2,36;62,26;30,33;35,77;65,72
"23 Ceará";98,15;87,55;99,61;101,03;101,94;96,24;103,54;97,75;0,60;0,54;88,84;92,94;95,11;84,27;102,14;81,02;48,86;96,35;2,19;78,22;66,57;63,08;81,30
