 Produção Ambulatorial do SUS - Piauí - por local de atendimento
Qtd.apresentada por Município e Grupo procedimento
Procedimento: 0202010317 DOSAGEM DE CREATININA, 0202010694 DOSAGEM DE UREIA
Período:Set/2021
"Município";"02 Procedimentos com finalidade diagnóstica";"Total"
"220020 Água Branca";703;703
"220025 Alagoinha do Piauí";65;65
"220030 Alto Longá";230;230
"220040 Altos";78;78
"220050 Amarante";297;297
"220060 Angical do Piauí";133;133
"220110 Avelino Lopes";66;66
"220120 Barras";880;880
"220150 Batalha";288;288
"220160 Beneditinos";134;134
"220190 Bom Jesus";268;268
"220220 Campo Maior";1633;1633
"220250 Caracol";150;150
"220260 Castelo do Piauí";136;136
"220290 Corrente";709;709
"220320 Curimatá";200;200
"220330 Demerval Lobão";184;184
"220370 Esperantina";241;241
"220390 Floriano";6444;6444
"220400 Francinópolis";112;112
"220450 Guadalupe";120;120
"220500 Itainópolis";50;50
"220510 Itaueira";520;520
"220550 José de Freitas";1080;1080
"220580 Luzilândia";665;665
"220620 Miguel Alves";181;181
"220660 Monte Alegre do Piauí";100;100
"220700 Oeiras";2999;2999
"220720 Padre Marcos";142;142
"220760 Parnaguá";258;258
"220770 Parnaíba";3154;3154
"220790 Pedro II";159;159
"220800 Picos";6907;6907
"220810 Pimenteiras";278;278
"220830 Piracuruca";560;560
"220840 Piripiri";2108;2108
"220880 Regeneração";99;99
"220965 São Francisco de Assis do Piauí";260;260
"221000 São João do Piauí";138;138
"221050 São Pedro do Piauí";254;254
"221060 São Raimundo Nonato";1046;1046
"221070 Simões";69;69
"221100 Teresina";29880;29880
"221110 União";144;144
"221120 Uruçuí";882;882
"221130 Valença do Piauí";406;406
"221140 Várzea Grande";98;98
"Total";65508;65508
 Fonte: Ministério da Saúde - Sistema de Informações Ambulatoriais do SUS (SIA/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
